,Cor,Bias,MAE,MSE,RMSE
z,0.9693410355503058,-0.06941107922624744,0.21333872788101174,0.06850594173902737,0.2617363974288394
a,0.7982178837800861,0.08311349048395557,0.3092619002606236,0.14178135402118525,0.3765386487748439
b,0.872630687484378,-0.04122300369289973,0.294252645186926,0.19915576065163632,0.44626870902141047
p,0.948889213809135,4.086923456880514e-05,0.06424392890520003,0.007111446888339169,0.08432939516170604
z,0.9709486872405241,-0.04503046446870959,0.1924961409205674,0.057937929501548135,0.24070299022145142
a,0.8497802670083419,0.0743251356235438,0.25100922047512897,0.09034034088763007,0.3005666995653878
b,0.9065619278297204,-0.08983412030916206,0.25317336877265806,0.1377307481126137,0.37112093461918005
p,0.9547434508788748,0.006333723938531609,0.05952681875082753,0.006311824417080819,0.0794469912399508
z,0.9690709476062277,-0.10903202229570544,0.23395546585399468,0.08212230901256282,0.2865699024890137
a,0.680286574297281,0.07046960967295303,0.36303351335971973,0.22073767669924074,0.469827283902543
b,0.8699843319272135,-0.057790216781173735,0.3157264520925762,0.2015324460609792,0.44892365281969626
p,0.94480736233346,-0.006447997794700783,0.06689631756192164,0.007776497897632559,0.08818445383191166
z,0.9713014554317391,-0.025530446110479003,0.18921401941512095,0.05617061789323565,0.2370034132522898
a,0.8649018352646086,0.0719978438732982,0.23880508761088248,0.08229043109645176,0.28686308772034746
b,0.900575259235137,-0.0863771974816666,0.25259385420613584,0.1454306570086388,0.38135371639547294
p,0.9547533891254514,0.011795431281465058,0.0603794448368027,0.0064229354224638446,0.08014321819383001
